source,destination,time,ms,labels_popped,truncated,routes
ISA,RTM,22:00,6.428,1,0,0
CHD,PPA,18:00,5.176,1,0,0
MPL,MOTH,03:00,84.734,21346,0,50
KJN,BUB,02:00,4.756,1,0,0
BBS,KLZ,20:00,17.884,5780,0,50
GUG,MRBL,03:00,3.980,1,0,0
PGK,NIR,00:00,13.922,4066,0,50
BBA,VKA,17:00,14.502,3927,0,50
SGS,TRSR,05:00,6.094,1613,0,50
AAM,CGN,23:00,4.785,1,0,0
CHD,MVL,07:00,17.407,3171,0,50
MTJR,LGL,00:00,11.654,4959,0,50
KEU,AME,06:00,16.191,4526,0,50
LGL,MTJR,09:00,195.834,80087,1,46
BRST,AVS,07:00,60.287,25253,0,50
VMA,HVD,05:00,34.939,10913,0,50
KLKA,BIG,18:00,5.689,1,0,0
MVW,CNO,09:00,5.565,890,0,50
KXH,VZM,14:00,11.327,3370,0,50
KMU,AVRD,20:00,9.317,1951,0,50
MS,NWB,04:00,2.297,1,0,0
KKN,BDL,00:00,152.176,54216,1,36
UB,TU,23:00,15.157,6817,0,50
MEJ,SBE,09:00,29.147,17503,0,50
GHH,AJNI,02:00,98.027,38033,0,50
DER,NZD,05:00,5.787,524,0,50
KHT,NYP,02:00,13.014,2678,0,50
MTC,KSI,19:00,10.654,1897,0,50
APR,CAG,21:00,4.078,1,0,0
JL,DOE,04:00,4.748,556,0,50
NMT,R,07:00,8.792,2302,0,50
KDKN,LAT,04:00,3.027,1,0,0
MAKR,MGK,04:00,8.037,4404,0,50
ANSB,VJPJ,20:00,4.042,1,0,0
RK,KKLR,22:00,3.564,1,0,0
JMT,SVGA,22:00,3.904,1318,0,50
MPA,PNPI,22:00,1.404,1,0,0
GPZ,BHUJ,13:00,9.671,5093,0,50
CMU,LAV,01:00,10.531,3571,0,50
USL,GPI,20:00,8.400,4354,0,50
JJN,PUL,06:00,12.411,8264,0,50
LSX,SGG,14:00,7.482,1588,0,50
HOL,VDA,06:00,20.973,8489,0,50
MRT,MA,06:00,3.010,1,0,0
BRYA,GBD,19:00,19.930,8945,0,50
BWPL,BGBR,00:00,149.008,50565,0,50
WH,KCT,18:00,4.443,1,0,0
JMRA,CNGR,07:00,4.715,1,0,0
AD,AII,19:00,24.129,6580,0,50
CNGR,PFM,17:00,13.270,4467,0,50
PNW,RPH,18:00,6.195,1,0,0
MRPR,BGAN,22:00,21.675,4286,0,50
HPU,NIR,02:00,19.245,2606,0,50
TIA,SNDD,20:00,7.154,1,0,0
MYR,KKK,07:00,8.396,3559,0,50
BJMD,BDCR,08:00,12.274,2061,0,50
GK,NPS,07:00,15.464,2960,0,50
NNW,POE,14:00,13.843,2771,0,50
NDKD,DWZ,21:00,2.466,1,0,0
MDS,KNVT,09:00,13.186,1667,0,50
BNY,VKR,17:00,18.304,6070,0,50
SKND,RCTC,17:00,3.568,1,0,0
MDT,DHE,18:00,3.303,1,0,0
DNR,KSD,00:00,24.121,10528,0,50
LD,PHI,10:00,4.586,1,0,0
BMKI,AMPA,10:00,8.904,1303,0,50
BLU,COR,00:00,8.207,1,0,0
SVKS,NDB,11:00,330.331,98001,1,48
GLPT,MEJ,12:00,7.857,1992,0,50
PAV,TDU,03:00,13.049,4311,0,50
DLR,MRJ,09:00,62.861,15179,0,50
LTD,R,04:00,10.510,1523,0,50
DEE,TUJ,01:00,7.995,2804,0,50
MQ,FUT,16:00,16.285,3594,0,50
BVP,SRNT,22:00,8.848,1,0,0
MZC,SBE,07:00,8.872,978,0,50
NBR,BLP,20:00,31.008,12750,0,50
KLMR,SAN,05:00,11.280,3461,0,50
CHR,KAN,21:00,134.622,29360,0,50
SRTL,LSR,07:00,9.930,1330,0,50
SBC,BONA,21:00,10.196,877,0,50
HOJ,GNG,21:00,6.282,1,0,0
BMI,DWK,05:00,23.039,14015,0,50
NHLN,KDTN,00:00,4.575,1,0,0
SDGH,HLZ,20:00,1.800,1,0,0
GHJ,ADQ,03:00,5.706,1,0,0
KVLS,LMT,10:00,30.762,14540,0,50
KQR,DBR,16:00,39.529,7987,0,50
BNZ,DUI,08:00,26.301,4766,0,50
DKE,TUJ,04:00,145.286,119909,0,50
GOTN,DAVM,12:00,11.044,4701,0,50
MDE,PDT,09:00,14.970,4771,0,50
HTCY,BDJ,23:00,5.853,1,0,0
DMV,UVD,05:00,5.601,1185,0,50
DMNJ,PB,11:00,47.773,13866,0,50
PIA,GDV,03:00,14.448,2678,0,50
FBG,YY,00:00,2.431,1,0,0
DSO,MSZ,23:00,5.590,1,0,0
KTSH,JTW,01:00,8.151,1170,0,50
AONI,EKM,08:00,16.161,7738,0,50
TEK,NCB,05:00,13.494,3158,0,50
NWH,BSL,12:00,25.362,6640,0,50
KRMR,KKB,23:00,4.574,1,0,0
MBM,DJHR,14:00,7.458,808,0,50
NRLN,BGZ,18:00,6.340,1,0,0
IAA,DHO,05:00,14.739,1799,0,50
PNSA,SAL,08:00,5.076,1,0,0
